[536, 589, 638]
[546, 602, 644]
[544, 616, 614]
[553, 617, 607]
[565, 617, 593]
[566, 607, 573]
[591, 617, 551]
[589, 644, 545]
[627, 645, 564]
[648, 656, 575]
[673, 645, 590]
[693, 643, 602]
[708, 646, 638]
[696, 631, 639]
[714, 621, 646]
[727, 614, 655]
[716, 635, 673]
[688, 634, 687]
[678, 623, 699]
[672, 622, 697]
[658, 624, 695]
[650, 623, 689]
[645, 625, 690]
[599, 617, 663]
[555, 622, 644]
[561, 625, 628]
[591, 645, 632]
[584, 645, 609]
[600, 649, 602]
[598, 638, 588]
[584, 615, 590]
[594, 601, 585]
[605, 590, 580]
[598, 574, 567]
[622, 587, 570]
[631, 607, 569]
[654, 615, 572]
[681, 606, 589]
[666, 621, 597]
[686, 593, 627]
[694, 604, 653]
[683, 604, 668]
[668, 618, 668]
[652, 596, 668]
[637, 600, 670]
[644, 608, 664]
[602, 587, 651]
[610, 582, 647]
[606, 590, 650]
[589, 595, 625]
[609, 611, 606]
[593, 604, 587]
[593, 593, 584]
[614, 574, 598]
[613, 567, 589]
[617, 564, 573]
[625, 558, 566]
[637, 549, 577]
[644, 525, 587]
[645, 552, 574]
[646, 572, 589]
[654, 589, 607]
[658, 587, 630]
[670, 582, 630]
[644, 553, 643]
[681, 549, 659]
[665, 579, 653]
[642, 569, 652]
[651, 569, 653]
[640, 578, 649]
[616, 557, 666]
[586, 560, 654]
[577, 574, 633]
[578, 567, 627]
[578, 566, 606]
[585, 570, 580]
[592, 562, 570]
[597, 540, 569]
[601, 534, 560]
[622, 531, 542]
[643, 528, 537]
[651, 526, 545]
[650, 544, 563]
[636, 545, 581]
[665, 545, 599]
[671, 540, 627]
[680, 543, 644]
[671, 545, 657]
[676, 539, 680]
[669, 524, 692]
[672, 547, 694]
[672, 549, 672]
[670, 537, 662]
[618, 548, 648]
[606, 545, 631]
[584, 524, 628]
[579, 525, 620]
[574, 519, 619]
[565, 501, 588]
[579, 487, 568]
[628, 507, 567]
[643, 505, 583]
[660, 504, 602]
[659, 504, 621]
[663, 502, 642]
[654, 504, 656]
[643, 481, 683]
[652, 475, 690]
[642, 498, 673]
[614, 503, 663]
[598, 501, 646]
[588, 503, 630]
[565, 493, 624]
[547, 486, 621]
[564, 477, 593]
[540, 467, 590]
[552, 458, 576]
[573, 473, 572]
[590, 470, 557]
[599, 452, 550]
[614, 478, 560]
[621, 476, 537]
[644, 467, 538]
[663, 478, 556]
[672, 450, 567]
[669, 462, 586]
[683, 477, 605]
[669, 485, 613]
[676, 472, 623]
[667, 468, 643]
[656, 469, 638]
[638, 479, 643]
[620, 483, 637]
[591, 465, 645]
[575, 456, 620]
[583, 443, 619]
[568, 446, 587]
[571, 437, 572]
[571, 411, 572]
[585, 412, 565]
[598, 429, 567]
[621, 437, 580]
[641, 434, 583]
[663, 424, 602]
[654, 398, 599]
[664, 400, 614]
[678, 383, 620]
[680, 379, 630]
[693, 398, 653]
[680, 425, 645]
[650, 432, 652]
[634, 431, 656]
[618, 404, 658]
[606, 431, 660]
[603, 434, 635]
[608, 425, 627]
[584, 409, 612]
[599, 394, 587]
[599, 375, 598]
[629, 380, 579]
[626, 398, 586]
[656, 406, 611]
[662, 395, 615]
[668, 375, 624]
[663, 359, 622]
[637, 355, 632]
[647, 372, 628]
[618, 392, 617]
[609, 401, 625]
[597, 380, 612]
[580, 373, 588]
[575, 366, 587]
[595, 339, 605]
[587, 327, 604]
[586, 331, 592]
[602, 353, 586]
[630, 346, 569]
[628, 339, 583]
[629, 310, 590]
[641, 326, 606]
[613, 327, 612]
[595, 316, 630]
[566, 307, 623]
[566, 278, 606]
[587, 321, 587]
[592, 288, 582]
[612, 293, 575]
[643, 282, 574]
[651, 275, 603]
[660, 293, 593]
[680, 261, 597]
[661, 287, 613]
[668, 289, 633]
[637, 299, 639]
[639, 309, 625]
[634, 295, 635]
[614, 282, 619]
[609, 269, 609]
[612, 268, 607]
[593, 265, 574]
[636, 257, 565]
[660, 262, 601]
[656, 261, 609]
[648, 270, 615]
[633, 266, 613]
[637, 297, 637]
[611, 276, 635]
[597, 270, 614]
[592, 265, 612]
[581, 238, 616]
[584, 229, 615]
[588, 229, 602]
[585, 225, 575]
[604, 227, 572]
[616, 231, 570]
[617, 221, 565]
[638, 223, 581]
[661, 210, 594]
[649, 223, 599]
[635, 237, 606]
[611, 235, 607]
[593, 230, 612]
[581, 207, 604]
[562, 197, 601]
[565, 186, 587]
[586, 199, 569]
[609, 197, 583]
[617, 185, 563]
[636, 178, 585]
[651, 190, 604]
[655, 205, 610]
[616, 178, 605]
[608, 173, 598]
[605, 169, 585]
[632, 167, 593]
[645, 149, 588]
[644, 148, 605]
[629, 149, 613]
[625, 153, 614]
[602, 157, 600]
[598, 153, 599]
[589, 134, 576]
[605, 142, 577]
[606, 128, 569]
[647, 132, 575]
[651, 128, 598]
[648, 122, 618]
[654, 100, 629]
[636, 113, 627]
[606, 123, 624]
[583, 109, 612]
[576, 109, 595]
[577, 108, 573]
[576, 106, 556]
[589, 81, 554]
[592, 59, 534]
[609, 64, 560]
[621, 66, 567]
[626, 67, 575]
[639, 55, 592]
[650, 79, 602]
[659, 91, 627]
[659, 113, 624]
[678, 107, 597]
[657, 126, 605]
[662, 135, 590]
[647, 142, 573]
[646, 136, 551]
[626, 125, 540]
[609, 148, 547]
[586, 140, 540]
[569, 152, 569]
[562, 152, 564]
[574, 135, 582]
[548, 139, 580]
[549, 152, 605]
[559, 162, 630]
[562, 174, 640]
[589, 188, 631]
[592, 197, 652]
[604, 194, 662]
[608, 186, 679]
[604, 181, 672]
[627, 182, 669]
[640, 179, 650]
[646, 186, 632]
[656, 192, 622]
[656, 192, 610]
[654, 189, 600]
[648, 198, 575]
[644, 184, 556]
[632, 170, 550]
[618, 199, 557]
[597, 195, 546]
[596, 173, 539]
[588, 177, 546]
[551, 161, 545]
[559, 192, 551]
[572, 200, 564]
[568, 211, 577]
[591, 230, 636]
[603, 230, 658]
[633, 232, 669]
[629, 237, 648]
[627, 241, 641]
[652, 228, 631]
[636, 257, 617]
[674, 227, 610]
[679, 226, 600]
[690, 212, 593]
[695, 185, 569]
[686, 211, 555]
[658, 224, 548]
[649, 226, 528]
[636, 214, 508]
[627, 218, 517]
[616, 233, 529]
[599, 231, 533]
[585, 232, 548]
[573, 221, 539]
[572, 232, 552]
[555, 237, 563]
[578, 243, 577]
[574, 257, 581]
[564, 269, 606]
[563, 269, 613]
[568, 285, 643]
[563, 306, 622]
[577, 274, 665]
[589, 275, 660]
[605, 288, 656]
[633, 276, 671]
[653, 260, 669]
[657, 241, 660]
[659, 263, 651]
[682, 271, 648]
